"# Sensor Luktvassvegen, Mosjøen - Mussere, Norway (Citizen Science project sensor.community/82574)"
# https://aqicn.org/station/@411634/
# Daily pm25
"date,min,max,median,q1,q3,stdev,count"
"2024-03-24T00:00:00.000Z,1,12.05,1.63,1.42,1.83,0.737,566"
"2024-03-25T00:00:00.000Z,0.73,5.95,1.5,1.35,1.75,0.381,585"
"2024-03-26T00:00:00.000Z,0.55,4.13,1.27,1.08,1.48,0.382,485"
"2024-03-27T00:00:00.000Z,0.28,9.73,1.12,0.95,1.38,0.818,391"
"2024-03-28T00:00:00.000Z,0.65,3.6,1.5,1.21,2.1,0.551,584"
"2024-03-29T00:00:00.000Z,0.38,2.15,1.08,0.9,1.3,0.276,365"
"2024-03-30T00:00:00.000Z,0.32,7.85,0.9,0.7,1.2,0.671,585"
"2024-03-31T00:00:00.000Z,0,12.1,2.02,1.4,2.49,0.903,573"
"2024-04-01T00:00:00.000Z,0.1,17.39,1.2,0.7,1.8,1.332,523"
"2024-04-02T00:00:00.000Z,0.08,19.13,0.77,0.56,1,1.434,573"
"2024-04-03T00:00:00.000Z,0,22.52,0.75,0.55,1.05,1.72,578"
"2024-04-04T00:00:00.000Z,0.15,18.82,0.82,0.65,1.1,1.777,583"
"2024-04-05T00:00:00.000Z,0.28,32.54,0.93,0.77,1.1,2.269,571"
"2024-04-06T00:00:00.000Z,0.6,20.8,1.3,1.1,1.49,1.12,588"
"2024-04-07T00:00:00.000Z,0,19.42,0.7,0.5,0.9,1.056,586"
"2024-04-08T00:00:00.000Z,0.1,22.9,2.02,1.63,2.47,1.959,577"
"2024-04-09T00:00:00.000Z,0.47,22.83,1.2,0.98,1.5,1.415,582"
"2024-04-10T00:00:00.000Z,0,21.02,0.85,0.5,1.35,1.816,578"
"2024-04-11T00:00:00.000Z,0.65,20.3,1.5,1.27,1.74,1.469,564"
"2024-04-12T00:00:00.000Z,0,33.33,0.9,0.5,1.33,1.692,563"
"2024-04-13T00:00:00.000Z,0,9.57,1.21,0.56,3,1.405,586"
"2024-04-14T00:00:00.000Z,0,26.2,1.2,0.8,2.34,1.705,589"
"2024-04-15T00:00:00.000Z,0.32,20.73,1,0.8,1.27,1.447,591"
"2024-04-16T00:00:00.000Z,0.3,31.77,0.82,0.68,1.08,1.386,589"
"2024-04-17T00:00:00.000Z,0.2,2.95,0.8,0.65,1,0.37,581"
"2024-04-18T00:00:00.000Z,0.6,48.67,1.27,1.1,1.48,2.714,589"
"2024-04-19T00:00:00.000Z,0.88,23.83,1.38,1.25,1.52,1.122,543"
"2024-04-20T00:00:00.000Z,0.9,2.52,1.4,1.27,1.55,0.219,563"
"2024-04-21T00:00:00.000Z,0.6,8.82,1.25,1.1,1.4,0.481,588"
"2024-04-22T00:00:00.000Z,0.6,37.79,1.4,1.2,1.6,2.37,582"
"2024-04-23T00:00:00.000Z,0.1,9.02,1.5,1.3,1.73,0.78,577"
"2024-04-24T00:00:00.000Z,0.03,10.15,0.74,0.5,1,0.573,584"
"2024-04-25T00:00:00.000Z,0.17,11.48,1,0.73,1.26,0.702,585"
"2024-04-26T00:00:00.000Z,0.98,17.77,1.5,1.38,1.67,1.006,578"
"2024-04-27T00:00:00.000Z,0.9,3.67,1.6,1.4,1.9,0.374,591"
"2024-04-28T00:00:00.000Z,0.32,13.07,1.08,0.85,1.4,0.872,591"
"2024-04-29T00:00:00.000Z,0,2.78,0.4,0.2,0.93,0.497,589"
"2024-04-30T00:00:00.000Z,0.25,11.95,1.23,1.08,1.4,0.719,589"
"2024-05-01T00:00:00.000Z,0.63,5.05,1.1,1,1.3,0.32,546"
"2024-05-02T00:00:00.000Z,0.95,4.53,1.52,1.4,1.75,0.349,591"
"2024-05-03T00:00:00.000Z,1.23,7.2,2.09,1.8,2.7,0.761,588"
"2024-05-04T00:00:00.000Z,1.73,5.5,2.5,2.22,2.75,0.424,374"
"2024-05-05T00:00:00.000Z,0.77,2.92,1.23,1.1,1.48,0.341,478"
"2024-05-06T00:00:00.000Z,0.63,3.2,1.1,1,1.3,0.237,587"
"2024-05-07T00:00:00.000Z,0.8,9.98,1.4,1.23,1.52,0.475,586"
"2024-05-08T00:00:00.000Z,0.1,15.65,1.4,0.97,1.67,1.049,584"
"2024-05-09T00:00:00.000Z,0.1,35.2,1.63,1.25,1.9,2.331,592"
"2024-05-10T00:00:00.000Z,0.5,9.25,1.23,1.02,1.5,0.634,586"
"2024-05-11T00:00:00.000Z,0.43,9.82,1.17,0.98,1.52,0.789,589"
"2024-05-12T00:00:00.000Z,0.98,11.13,3.91,2.33,5.2,1.814,586"
"2024-05-13T00:00:00.000Z,1.73,10.55,2.83,2.58,3.13,0.582,586"
"2024-05-14T00:00:00.000Z,1.3,4.5,2.5,2,3.05,0.626,588"
"2024-05-15T00:00:00.000Z,2.25,7.55,4.09,3.49,4.69,0.863,584"
"2024-05-16T00:00:00.000Z,1.75,6.78,2.6,2.29,4.59,1.281,581"
"2024-05-17T00:00:00.000Z,1.6,7.25,2.42,2.15,2.8,1.081,585"
"2024-05-18T00:00:00.000Z,0.1,7.43,3.58,1.3,4.2,1.703,591"
"2024-05-19T00:00:00.000Z,0.17,2.47,0.9,0.7,1.14,0.356,590"
"2024-05-20T00:00:00.000Z,0.3,19.92,0.85,0.7,1,1.043,590"
"2024-05-21T00:00:00.000Z,0.63,2.4,1.12,1,1.3,0.244,594"
"2024-05-22T00:00:00.000Z,1.12,5.4,1.75,1.58,1.9,0.359,588"
"2024-05-23T00:00:00.000Z,1.08,5.72,2.17,1.67,2.83,0.808,588"
"2024-05-24T00:00:00.000Z,1.6,16,3.42,2.33,4.15,1.525,587"
"2024-05-25T00:00:00.000Z,1.23,9.5,2.25,1.76,2.75,0.705,588"
"2024-05-26T00:00:00.000Z,1.9,6.72,3.83,3.1,4.38,0.868,589"
"2024-05-27T00:00:00.000Z,3.63,8.19,4.8,4.45,5.32,0.658,588"
"2024-05-28T00:00:00.000Z,2.5,12.73,5.72,3.89,8.51,2.536,589"
"2024-05-29T00:00:00.000Z,2.9,26.35,4.2,3.63,10.22,3.76,588"
"2024-05-30T00:00:00.000Z,1.77,20.14,2.52,2.29,3.08,1.299,586"
"2024-05-31T00:00:00.000Z,2.27,5.7,3.08,2.72,3.65,0.61,585"
"2024-06-01T00:00:00.000Z,1.55,11.1,2.5,2.2,4.67,2.364,556"
"2024-06-02T00:00:00.000Z,1.6,13.57,3.55,2.6,7.63,3.669,589"
"2024-06-03T00:00:00.000Z,0.52,32.17,2.1,1.69,2.42,2.407,588"
"2024-06-04T00:00:00.000Z,0.63,4.47,1.48,1.2,1.7,0.398,585"
"2024-06-05T00:00:00.000Z,0.05,4.28,2,1.8,2.29,0.626,590"
"2024-06-06T00:00:00.000Z,0.63,8.05,1.5,1.3,1.67,0.437,584"
"2024-06-07T00:00:00.000Z,1.14,2.9,1.9,1.55,2.12,0.366,584"
"2024-06-08T00:00:00.000Z,0.9,6.93,1.8,1.4,2.22,0.593,590"
"2024-06-09T00:00:00.000Z,1.3,6.53,1.83,1.67,2.1,0.449,586"
"2024-06-10T00:00:00.000Z,0.52,4.9,1.25,1.1,1.5,0.472,582"
"2024-06-11T00:00:00.000Z,0.3,3.97,1.48,1.1,1.75,0.465,586"
"2024-06-12T00:00:00.000Z,0.43,2.72,1.4,1.1,1.67,0.369,586"
